NAME,state,county,Sex by Age_Estimate!!Total: (B01001_001E),Sex by Age_Estimate!!Total:!!Male: (B01001_002E)
"Hendry County, Florida",12,051,39902,21905
"Hernando County, Florida",12,053,196621,95719
"Highlands County, Florida",12,055,102339,50232
"Hillsborough County, Florida",12,057,1468560,724235
"Holmes County, Florida",12,059,19529,10451
"Indian River County, Florida",12,061,160986,78378
"Jackson County, Florida",12,063,47704,25869
"Jefferson County, Florida",12,065,14458,7453
"Lafayette County, Florida",12,067,8107,4919
"Lake County, Florida",12,069,386829,188572
"Lee County, Florida",12,071,772902,380685
"Leon County, Florida",12,073,294128,139638
"Levy County, Florida",12,075,43268,21126
"Liberty County, Florida",12,077,7704,4317
"Madison County, Florida",12,079,17986,9439
"Manatee County, Florida",12,081,405069,196808
"Marion County, Florida",12,083,378225,182704
"Martin County, Florida",12,085,159399,78808
"Miami-Dade County, Florida",12,086,2688237,1318559
"Monroe County, Florida",12,087,82044,42677
"Nassau County, Florida",12,089,91538,45302
"Okaloosa County, Florida",12,091,212021,107993
"Okeechobee County, Florida",12,093,39870,21440
"Orange County, Florida",12,095,1427403,704643
"Osceola County, Florida",12,097,393745,195519
"Palm Beach County, Florida",12,099,1494805,729568
"Pasco County, Florida",12,101,569211,278905
"Pinellas County, Florida",12,103,959918,464021
"Polk County, Florida",12,105,736229,363269
"Putnam County, Florida",12,107,73604,36564
"St. Johns County, Florida",12,109,278722,136822
"St. Lucie County, Florida",12,111,334682,164702
"Santa Rosa County, Florida",12,113,188994,97011
"Sarasota County, Florida",12,115,439392,210554
"Seminole County, Florida",12,117,471321,229821
"Sumter County, Florida",12,119,131832,65425
"Suwannee County, Florida",12,121,43881,22980
"Taylor County, Florida",12,123,21421,12051
"Union County, Florida",12,125,15524,10059
"Volusia County, Florida",12,127,558520,274078
"Wakulla County, Florida",12,129,33732,18653
"Walton County, Florida",12,131,76618,38843
"Washington County, Florida",12,133,25014,13312
"Appling County, Georgia",13,001,18441,9309
"Atkinson County, Georgia",13,003,8265,4082
"Bacon County, Georgia",13,005,11138,5525
"Baker County, Georgia",13,007,2878,1450
"Baldwin County, Georgia",13,009,43778,22148
"Banks County, Georgia",13,011,18381,9338
"Barrow County, Georgia",13,013,84399,41722
"Bartow County, Georgia",13,015,109410,54685
"Ben Hill County, Georgia",13,017,17169,8075
"Berrien County, Georgia",13,019,18187,9046
"Bibb County, Georgia",13,021,156554,73881
"Bleckley County, Georgia",13,023,12413,6042
"Brantley County, Georgia",13,025,18105,8970
"Brooks County, Georgia",13,027,16275,7883
"Bryan County, Georgia",13,029,44995,22481
"Bulloch County, Georgia",13,031,79829,38876
"Burke County, Georgia",13,033,24337,11944
"Butts County, Georgia",13,035,25522,13710
"Calhoun County, Georgia",13,037,5594,3461
"Camden County, Georgia",13,039,55105,28750
"Candler County, Georgia",13,043,10946,5334
"Carroll County, Georgia",13,045,120060,58690
"Catoosa County, Georgia",13,047,68052,33371
"Charlton County, Georgia",13,049,12547,7331
"Chatham County, Georgia",13,051,296266,142685
"Chattahoochee County, Georgia",13,053,9402,6090
"Chattooga County, Georgia",13,055,24902,12763
"Cherokee County, Georgia",13,057,268567,132996
"Clarke County, Georgia",13,059,128864,61390
"Clay County, Georgia",13,061,2855,1335
"Clayton County, Georgia",13,063,296312,139076
"Clinch County, Georgia",13,065,6713,3337
"Cobb County, Georgia",13,067,765813,373782
"Coffee County, Georgia",13,069,43056,22197
"Colquitt County, Georgia",13,071,45813,22969
"Columbia County, Georgia",13,073,156921,76942
"Cook County, Georgia",13,075,17242,8337
"Coweta County, Georgia",13,077,147449,71903
"Crawford County, Georgia",13,079,12156,6358
"Crisp County, Georgia",13,081,20255,10171
"Dade County, Georgia",13,083,16239,8015
"Dawson County, Georgia",13,085,27355,14023
"Decatur County, Georgia",13,087,29063,14097
"DeKalb County, Georgia",13,089,761209,361801
"Dodge County, Georgia",13,091,19977,10501
"Dooly County, Georgia",13,093,11236,6299
"Dougherty County, Georgia",13,095,85038,39219
"Douglas County, Georgia",13,097,144735,69255
"Early County, Georgia",13,099,10753,5082
"Echols County, Georgia",13,101,3707,1703
"Effingham County, Georgia",13,103,65314,32382
"Elbert County, Georgia",13,105,19570,9358
"Emanuel County, Georgia",13,107,22907,11621
"Evans County, Georgia",13,109,10759,5425
"Fannin County, Georgia",13,111,25436,12481
"Fayette County, Georgia",13,113,119259,58066
"Floyd County, Georgia",13,115,98541,48250
"Forsyth County, Georgia",13,117,253225,126773
"Franklin County, Georgia",13,119,23480,11680
"Fulton County, Georgia",13,121,1061944,518219
"Gilmer County, Georgia",13,123,31519,15692
"Glascock County, Georgia",13,125,2903,1326
"Glynn County, Georgia",13,127,84566,39461
"Gordon County, Georgia",13,129,57785,28644
"Grady County, Georgia",13,131,26075,12816
"Greene County, Georgia",13,133,19020,9398
"Gwinnett County, Georgia",13,135,957977,470667
"Habersham County, Georgia",13,137,46326,22076
"Hall County, Georgia",13,139,204953,102512
"Hancock County, Georgia",13,141,8588,4502
"Haralson County, Georgia",13,143,30178,14860
"Harris County, Georgia",13,145,34914,17698
"Hart County, Georgia",13,147,26110,12979
"Heard County, Georgia",13,149,11489,5718
"Henry County, Georgia",13,151,240853,115211
"Houston County, Georgia",13,153,164117,79890
"Irwin County, Georgia",13,155,9487,4957
"Jackson County, Georgia",13,157,77033,38539
"Jasper County, Georgia",13,159,14882,7274
"Jeff Davis County, Georgia",13,161,14791,7389
"Jefferson County, Georgia",13,163,15591,7582
"Jenkins County, Georgia",13,165,8704,4357
"Johnson County, Georgia",13,167,9225,5556
"Jones County, Georgia",13,169,28382,13905
"Lamar County, Georgia",13,171,18676,9112
"Lanier County, Georgia",13,173,9964,4880
"Laurens County, Georgia",13,175,49407,23587
"Lee County, Georgia",13,177,32968,16560
"Liberty County, Georgia",13,179,65550,33739
"Lincoln County, Georgia",13,181,7726,3794
"Long County, Georgia",13,183,16804,8679
"Lowndes County, Georgia",13,185,118257,57335
"Lumpkin County, Georgia",13,187,33405,16346
"McDuffie County, Georgia",13,189,21715,10508
"McIntosh County, Georgia",13,191,11183,5518
"Macon County, Georgia",13,193,12099,6604
"Madison County, Georgia",13,195,30378,14705
"Marion County, Georgia",13,197,7508,3680
"Meriwether County, Georgia",13,199,20679,9966
"Miller County, Georgia",13,201,5923,2792
"Mitchell County, Georgia",13,205,21634,11195
"Monroe County, Georgia",13,207,28287,14308
"Montgomery County, Georgia",13,209,8687,4405
"Morgan County, Georgia",13,211,20171,9990
"Murray County, Georgia",13,213,40063,19928
"Muscogee County, Georgia",13,215,204572,98973
"Newton County, Georgia",13,217,113298,53614
"Oconee County, Georgia",13,219,41978,20864
"Oglethorpe County, Georgia",13,221,14974,7528
"Paulding County, Georgia",13,223,169898,83341
"Peach County, Georgia",13,225,28054,13785
"Pickens County, Georgia",13,227,33439,16763
"Pierce County, Georgia",13,229,19822,9942
"Pike County, Georgia",13,231,19145,9417
"Polk County, Georgia",13,233,43019,21203
"Pulaski County, Georgia",13,235,9887,4339
"Putnam County, Georgia",13,237,22206,10855
"Quitman County, Georgia",13,239,2180,1179
"Rabun County, Georgia",13,241,16915,8264
"Randolph County, Georgia",13,243,6365,2939
"Richmond County, Georgia",13,245,206153,99791
"Rockdale County, Georgia",13,247,93641,44495
"Schley County, Georgia",13,249,4565,2309
"Screven County, Georgia",13,251,14026,6742
"Seminole County, Georgia",13,253,9117,4425
"Spalding County, Georgia",13,255,67415,32327
"Stephens County, Georgia",13,257,26732,12685
"Stewart County, Georgia",13,259,5121,3538
"Sumter County, Georgia",13,261,29378,13782
"Talbot County, Georgia",13,263,5793,2802
"Taliaferro County, Georgia",13,265,1635,734
"Tattnall County, Georgia",13,267,24309,14137
"Taylor County, Georgia",13,269,7799,3741
"Telfair County, Georgia",13,271,12619,7534
"Terrell County, Georgia",13,273,9004,4532
"Thomas County, Georgia",13,275,45665,21757
"Tift County, Georgia",13,277,41247,20002
"Toombs County, Georgia",13,279,26946,12819
"Towns County, Georgia",13,281,12546,6034
"Treutlen County, Georgia",13,283,6411,3409
"Troup County, Georgia",13,285,69527,33108
"Turner County, Georgia",13,287,8894,4308
"Twiggs County, Georgia",13,289,7955,3881
"Union County, Georgia",13,291,24880,12345
"Upson County, Georgia",13,293,27638,13285
"Walker County, Georgia",13,295,68065,33912
"Walton County, Georgia",13,297,97752,47777
"Ware County, Georgia",13,299,35917,17975
"Warren County, Georgia",13,301,5197,2405
"Washington County, Georgia",13,303,19975,10209
"Wayne County, Georgia",13,305,30277,15113
"Webster County, Georgia",13,307,2354,1208
"Wheeler County, Georgia",13,309,7550,4975
"White County, Georgia",13,311,28165,13898
"Whitfield County, Georgia",13,313,103033,51768
"Wilcox County, Georgia",13,315,8839,5344
"Wilkes County, Georgia",13,317,9610,4947
"Wilkinson County, Georgia",13,319,8852,4233
"Worth County, Georgia",13,321,20706,9859
"Hawaii County, Hawaii",15,001,202163,100828
"Honolulu County, Hawaii",15,003,1010100,512085
"Kalawao County, Hawaii",15,005,50,34
"Kauai County, Hawaii",15,007,73511,36809
"Maui County, Hawaii",15,009,164765,82304
"Ada County, Idaho",16,001,497494,251101
"Adams County, Idaho",16,003,4464,2305
"Bannock County, Idaho",16,005,87434,44037
"Bear Lake County, Idaho",16,007,6436,3243
"Benewah County, Idaho",16,009,9731,4996
"Bingham County, Idaho",16,011,48253,24367
"Blaine County, Idaho",16,013,24248,12648
"Boise County, Idaho",16,015,7809,3907
"Bonner County, Idaho",16,017,47976,24159
"Bonneville County, Idaho",16,019,124490,62477
"Boundary County, Idaho",16,021,12335,6230
"Butte County, Idaho",16,023,2605,1305
"Camas County, Idaho",16,025,1133,559
"Canyon County, Idaho",16,027,235006,117340
